14:16:46.774 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 15884 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:16:46.783 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:16:51.361 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 5.178 seconds (JVM running for 6.843)
14:16:51.607 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:16:51.607 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:16:51.607 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:16:51.607 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:16:51.607 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:16:51.608 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:16:51.608 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:16:51.608 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:16:51.608 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:16:51.608 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:16:51.729 [pool-3-thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:17:25.620 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:25.620 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:25.620 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:25.620 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:25.620 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:25.622 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:25.622 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:25.622 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:25.622 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:25.622 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ====校验 库存是否足够===
14:17:25.683 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:17:25.704 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:17:31.941 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 17968 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:17:31.948 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:17:36.079 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 4.696 seconds (JVM running for 6.058)
14:17:36.336 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:17:36.336 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:17:36.336 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:17:36.336 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:17:36.336 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:17:36.336 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:17:36.336 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:17:36.336 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:17:36.336 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:17:36.337 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:17:36.447 [pool-3-thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:17:36.704 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
14:17:36.704 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===校验数据是否合法通过===
